cellId,zone,zoneName,title,colour,label,place
105-47,105,Soul of Maelshyve,A Treacherous Silver Liquid,,,A Treacherous Silver Liquid
105-48,105,Soul of Maelshyve,Abyss,,,Abyss
105-49,105,Soul of Maelshyve,Outside the Interval,,,Outside the Interval
107-306,107,Mer'Kresh,JAIL,,JAIL,JAIL
107-349,107,Mer'Kresh,,,,
30-346,30,Riverhaven,"Town Jail, The Cell",,,The Cell
47-365,47,Muspar'i,"Muspar'i, Jail Cell",,,Jail Cell
63-118,63,Oshu'ehhrsk Manor,"Astral Plane, Asharshpar'i Conduit",,,Asharshpar'i Conduit
66-421,66,Shard to Gondola Area,"Abyss, Maelshyve's Ascent",,,Maelshyve's Ascent
66-422,66,Shard to Gondola Area,"Abyss, Maelshyve's Ascent",,,Maelshyve's Ascent
66-742,66,Shard to Gondola Area,,#0000FF,,
90-382,90,Ratha,"Ratha, Jail",,,Jail
90-631,90,Ratha,Malk'smo Holding Cell,,Jail,Malk'smo Holding Cell
95-175,95,Pokekehekepi,Pokekehekepi korgi,#00FF00,,Pokekehekepi korgi
95-176,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-177,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-178,95,Pokekehekepi,Pokekehekepi korgi,#00FF00,,Pokekehekepi korgi
95-179,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-180,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-181,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-182,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-183,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-184,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-185,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-186,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-187,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-188,95,Pokekehekepi,Pokekehekepi korgi,#00FF00,,Pokekehekepi korgi
95-189,95,Pokekehekepi,Pokekehekepi korgi,#00FF00,,Pokekehekepi korgi
95-190,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-191,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-192,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-193,95,Pokekehekepi,Pokekehekepi korgi,#00FF00,,Pokekehekepi korgi
95-194,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-195,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-196,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-197,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
